FECHA;ITEM;ELEMENTO_ID;AVANCE;MONTO;OBS;ESTADO
2021-01-22;A.1.1;L;0.75;1337.37;;
2021-01-22;A.1.2;L;0.6;296.94;;
2021-01-22;A.1.4;L;0.8;367.904;;
2021-01-22;A.2.1;L;1;53.62;;
2021-01-22;A.2.3;L;0.65;2580.266;;
2021-01-22;A.3.1.1;E01;0.5;0.414;;
2021-01-22;A.3.1.1;E02;0.5;0.414;;
2021-01-22;A.3.1.1;E03;0.5;0.414;;
2021-01-22;A.3.1.1;E04;1;0.828;;
2021-01-22;A.3.1.1;E05;1;0.828;;
2021-01-22;A.3.1.1;E06;1;0.828;;
2021-01-22;A.3.1.1;E07;1;0.828;;
2021-01-22;A.3.1.1;E08;1;0.828;;
2021-01-22;A.3.1.1;E09;1;0.828;;
2021-01-22;A.3.1.1;E10;1;0.828;;
2021-01-22;A.3.1.1;E11;1;0.828;;
2021-01-22;A.3.1.1;E12;1;0.828;;
2021-01-22;A.3.1.1;E13;0.5;0.414;;
2021-01-22;A.3.1.1;E14;0.5;0.414;;
2021-01-22;A.3.1.1;E15;0;0;;
2021-01-22;A.3.1.1;E16;0.5;0.414;;
2021-01-22;A.3.1.1;E17;0.5;0.414;;
2021-01-22;A.3.1.1;E18;1;0.828;;
2021-01-22;A.3.1.1;E19;0.5;0.414;;
2021-01-22;A.3.1.1;E20;1;0.828;;
2021-01-22;A.3.1.2;E01;0.5;0.12;;
2021-01-22;A.3.1.2;E02;0.5;0.12;;
2021-01-22;A.3.1.2;E03;0.5;0.12;;
2021-01-22;A.3.1.2;E04;1;0.24;;
2021-01-22;A.3.1.2;E05;1;0.24;;
2021-01-22;A.3.1.2;E06;1;0.24;;
2021-01-22;A.3.1.2;E07;1;0.24;;
2021-01-22;A.3.1.2;E08;1;0.24;;
2021-01-22;A.3.1.2;E09;1;0.24;;
2021-01-22;A.3.1.2;E10;1;0.24;;
2021-01-22;A.3.1.2;E11;1;0.24;;
2021-01-22;A.3.1.2;E12;1;0.24;;
2021-01-22;A.3.1.2;E13;0.5;0.12;;
2021-01-22;A.3.1.2;E14;0.5;0.12;;
2021-01-22;A.3.1.2;E15;0;0;;
2021-01-22;A.3.1.2;E16;0.5;0.12;;
2021-01-22;A.3.1.2;E17;0.5;0.12;;
2021-01-22;A.3.1.2;E18;1;0.24;;
2021-01-22;A.3.1.2;E19;0.5;0.12;;
2021-01-22;A.3.1.2;E20;1;0.24;;
2021-01-22;A.3.1.3;E01;0.5;0.125;;
2021-01-22;A.3.1.3;E02;0.5;0.125;;
2021-01-22;A.3.1.3;E03;0.5;0.125;;
2021-01-22;A.3.1.3;E04;1;0.25;;
2021-01-22;A.3.1.3;E05;1;0.25;;
2021-01-22;A.3.1.3;E06;1;0.25;;
2021-01-22;A.3.1.3;E07;1;0.25;;
2021-01-22;A.3.1.3;E08;1;0.25;;
2021-01-22;A.3.1.3;E09;1;0.25;;
2021-01-22;A.3.1.3;E10;1;0.25;;
2021-01-22;A.3.1.3;E11;1;0.25;;
2021-01-22;A.3.1.3;E12;1;0.25;;
2021-01-22;A.3.1.3;E13;0.5;0.125;;
2021-01-22;A.3.1.3;E14;0.5;0.125;;
2021-01-22;A.3.1.3;E15;0;0;;
2021-01-22;A.3.1.3;E16;0.5;0.125;;
2021-01-22;A.3.1.3;E17;0.5;0.125;;
2021-01-22;A.3.1.3;E18;1;0.25;;
2021-01-22;A.3.1.3;E19;0.5;0.125;;
2021-01-22;A.3.1.3;E20;1;0.25;;
2021-01-22;A.3.1.4;E01;0.5;0.315;;
2021-01-22;A.3.1.4;E02;0.5;0.315;;
2021-01-22;A.3.1.4;E03;0.5;0.315;;
2021-01-22;A.3.1.4;E04;1;0.63;;
2021-01-22;A.3.1.4;E05;1;0.63;;
2021-01-22;A.3.1.4;E06;1;0.63;;
2021-01-22;A.3.1.4;E07;1;0.63;;
2021-01-22;A.3.1.4;E08;1;0.63;;
2021-01-22;A.3.1.4;E09;1;0.63;;
