ITEM;ELEMENTO_ID;AVANCE;;;MONTO;FECHA;;REL_MONTO;;TOTAL_INF;UNI_LINEA;CNT_LINEA;MONTO_LINEA;REL_LINEAS;REL_PORC_SUM;PORC_APL;dsc_item;dsc_elem
A.1.1;L;0,75;;;;21-ene;;1783,16;;1783,16;;NULL;1783,16;1;1;1;Construcciones provisorias;Lote
A.1.2;L;0,6;;;;21-ene;;494,9;;494,9;;NULL;494,9;1;1;1;Empalmes y conexiones provisorias;Lote
A.1.4;L;0,8;;;;21-ene;;459,88;;459,88;;NULL;459,88;1;1;1;Cierros provisorios;Lote
A.2.1;L;1;;;;21-ene;;53,62;;53,62;;NULL;53,62;1;1;1;Letreros de obra;Lote
A.2.2;L;;;;;21-ene;;2187,21;;2187,21;;NULL;2187,21;1;1;1;Aseo y entrega;Lote
A.2.3;L;0,65;;;;21-ene;;3969,64;;3969,64;;NULL;3969,64;1;1;1;Retiro de escombros;Lote
A.3.1.1;E01;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 1
A.3.1.1;E02;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 2
A.3.1.1;E03;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 3
A.3.1.1;E04;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 4
A.3.1.1;E05;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 5
A.3.1.1;E06;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 6
A.3.1.1;E07;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 7
A.3.1.1;E08;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 8
A.3.1.1;E09;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 9
A.3.1.1;E10;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 10
A.3.1.1;E11;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 11
A.3.1.1;E12;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 12
A.3.1.1;E13;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 13
A.3.1.1;E14;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 14
A.3.1.1;E15;0;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 15
A.3.1.1;E16;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 16
A.3.1.1;E17;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 17
A.3.1.1;E18;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 18
A.3.1.1;E19;0,5;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 19
A.3.1.1;E20;1;;;;21-ene;;0,828;;16,56;20 edificios;NULL;0,828;20;20;1;Proctor;Edificio 20
A.3.1.2;E01;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 1
A.3.1.2;E02;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 2
A.3.1.2;E03;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 3
A.3.1.2;E04;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 4
A.3.1.2;E05;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 5
A.3.1.2;E06;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 6
A.3.1.2;E07;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 7
A.3.1.2;E08;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 8
A.3.1.2;E09;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 9
A.3.1.2;E10;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 10
A.3.1.2;E11;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 11
A.3.1.2;E12;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 12
A.3.1.2;E13;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 13
A.3.1.2;E14;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 14
A.3.1.2;E15;0;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 15
A.3.1.2;E16;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 16
A.3.1.2;E17;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 17
A.3.1.2;E18;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 18
A.3.1.2;E19;0,5;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 19
A.3.1.2;E20;1;;;;21-ene;;0,24;;4,8;20 edificios;NULL;0,24;20;20;1;CBR o Densidad relativa;Edificio 20
A.3.1.3;E01;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 1
A.3.1.3;E02;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 2
A.3.1.3;E03;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 3
A.3.1.3;E04;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 4
A.3.1.3;E05;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 5
A.3.1.3;E06;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 6
A.3.1.3;E07;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 7
A.3.1.3;E08;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 8
A.3.1.3;E09;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 9
A.3.1.3;E10;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 10
A.3.1.3;E11;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 11
A.3.1.3;E12;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 12
A.3.1.3;E13;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 13
A.3.1.3;E14;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 14
A.3.1.3;E15;0;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 15
A.3.1.3;E16;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 16
A.3.1.3;E17;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 17
A.3.1.3;E18;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 18
A.3.1.3;E19;0,5;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 19
A.3.1.3;E20;1;;;;21-ene;;0,25;;5;20 edificios;NULL;0,25;20;20;1;Limites de Aterberg;Edificio 20
A.3.1.4;E01;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 1
A.3.1.4;E02;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 2
A.3.1.4;E03;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 3
A.3.1.4;E04;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 4
A.3.1.4;E05;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 5
A.3.1.4;E06;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 6
A.3.1.4;E07;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 7
A.3.1.4;E08;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 8
A.3.1.4;E09;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 9
A.3.1.4;E10;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 10
A.3.1.4;E11;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 11
A.3.1.4;E12;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 12
A.3.1.4;E13;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 13
A.3.1.4;E14;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 14
A.3.1.4;E15;0;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 15
A.3.1.4;E16;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 16
A.3.1.4;E17;0,5;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 17
A.3.1.4;E18;1;;;;21-ene;;0,63;;12,6;20 edificios;NULL;0,63;20;20;1;Densidad maxima compactada seca;Edificio 18
